"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"150426152342024OB000002";"150426152342023LB000035";"02/01/2024";"1";"Banco do Brasil S.A.";"1668";"21952,20"
"150426152342024OB000002";"150426152342023LB000035";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0080";"1244,21"
"150426152342024OB000002";"150426152342023LB000035";"02/01/2024";"104";"Caixa Econômica Federal";"0633";"9774,12"
"150426152342024OB000002";"150426152342023LB000035";"02/01/2024";"237";"Banco Bradesco S.A.";"0321";"1450,64"
"150426152342024OB000005";"150426152342023LB000036";"02/01/2024";"1";"Banco do Brasil S.A.";"1668";"1948677,60"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"1";"Banco do Brasil S.A.";"1674";"101864,87"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3214";"12873,67"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"104";"Caixa Econômica Federal";"1314";"49045,13"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"237";"Banco Bradesco S.A.";"1396";"35265,77"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"12984,91"
"153034152412024OB000001";"153034152412023LB000012";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"303,31"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"1";"Banco do Brasil S.A.";"1674";"10608739,03"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3214";"847903,87"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"104";"Caixa Econômica Federal";"1314";"1400944,89"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"237";"Banco Bradesco S.A.";"1396";"464751,48"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"637052,48"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"56311,75"
"153034152412024OB000017";"153034152412023LB000011";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"7061,31"
"153045152242024OB000014";"153045152242023LB000024";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"3858627,18"
"153045152242024OB000014";"153045152242023LB000024";"02/01/2024";"104";"Caixa Econômica Federal";"0926";"825807,62"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"1";"Banco do Brasil S.A.";"3653";"584113,83"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3508";"70613,40"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"104";"Caixa Econômica Federal";"0926";"118644,96"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"237";"Banco Bradesco S.A.";"0621";"76249,70"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"36327,19"
"153045152242024OB000015";"153045152242023LB000023";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"1138,48"
