"Código Pagamento";"Código Lista";"Data Emissão";"Código Sequência";"Valor Lançamento em R$";"Valor Desconto em R$";"Valor Juros em R$";"Valor Dedução em R$";"Valor Acréscimo em R$"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"2";"488,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"20";"70,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"21";"802,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"22";"802,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"23";"802,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"24";"176,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"25";"185,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"26";"185,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"3";"118,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"4";"118,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"5";"118,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"6";"488,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"7";"78,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"8";"976,00";"0,00";"0,00";"0,00";"0,00"
"113201115012024OB000028";"113201115012023LF000365";"02/01/2024";"9";"176,00";"0,00";"0,00";"0,00";"0,00"
"113205115012024OB000001";"113205115012023LF000580";"02/01/2024";"1";"1925,00";"0,00";"0,00";"0,00";"0,00"
"113205115012024OB000002";"113205115012023LF000581";"02/01/2024";"1";"865,85";"0,00";"0,00";"0,00";"0,00"
"113208115062024OB000022";"113208115062023LF000392";"02/01/2024";"1";"5002,18";"0,00";"0,00";"0,00";"0,00"
"113208115062024OB000030";"113208115062023LF000393";"02/01/2024";"1";"668673,13";"0,00";"0,00";"0,00";"0,00"
"113214202142024OB000002";"113214202142023LF000306";"02/01/2024";"1";"11348,14";"0,00";"0,00";"0,00";"0,00"
"113214202142024OB000004";"113214202142023LF000304";"02/01/2024";"1";"2709,81";"0,00";"0,00";"0,00";"0,00"
"113214202142024OB000007";"113214202142023LF000305";"02/01/2024";"1";"21150,84";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000009";"113245202142023LF000080";"02/01/2024";"1";"231,00";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000017";"113245202142023LF000084";"02/01/2024";"1";"1111,01";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000021";"113245202142023LF000081";"02/01/2024";"1";"5987,82";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000025";"113245202142023LF000082";"02/01/2024";"1";"312,18";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000027";"113245202142023LF000083";"02/01/2024";"1";"177,25";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000031";"113245202142023LF000086";"02/01/2024";"1";"590510,74";"0,00";"0,00";"0,00";"0,00"
"113245202142024OB000032";"113245202142023LF000085";"02/01/2024";"1";"388923,25";"0,00";"0,00";"0,00";"0,00"
"113601113022024OB000003";"113601113022023LF000094";"02/01/2024";"1";"899,75";"0,00";"0,00";"0,00";"0,00"
"113601113022024OB000006";"113601113022023LF000095";"02/01/2024";"1";"7410,34";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000057";"114601113012023LF000846";"02/01/2024";"1";"123347,99";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000061";"114601113012023LF000844";"02/01/2024";"1";"576,11";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000062";"114601113012023LF000845";"02/01/2024";"1";"17121,88";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000064";"114601113012023LF000842";"02/01/2024";"1";"794,20";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000066";"114601113012023LF000843";"02/01/2024";"1";"629,73";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000072";"114601113012023LF000834";"02/01/2024";"1";"93171,77";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000073";"114601113012023LF000835";"02/01/2024";"1";"31387,63";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000074";"114601113012023LF000836";"02/01/2024";"1";"20382,58";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000075";"114601113012023LF000837";"02/01/2024";"1";"45722,27";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000076";"114601113012023LF000838";"02/01/2024";"1";"120435,87";"0,00";"0,00";"0,00";"0,00"
"114601113012024OB000077";"114601113012023LF000839";"02/01/2024";"1";"51376,77";"0,00";"0,00";"0,00";"0,00"
