"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170271 - DELEGACIA DA RFB EM PALMAS";"100.367,52";"41.754,40";"17.521,85";"3.879,12";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"27.239,92";"8.009.103,30";"8.009.103,30";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170279 - CORREGEDORIA-GERAL DA RFB";"111.593,00";"178.924,96";"166.072,79";"0,00";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170999 - COORDENACAO GERAL DE CONTABILIDADE";"0,00";"0,00";"0,00";"625.859,66";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170321 - DELEGACIA DA RFB EM PIRACICABA";"0,00";"0,00";"0,00";"76,08";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"23.120.218.071,97";"997.197.721,82";"997.197.721,82";"1.945.540.225,07";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"253.429,04";"126.519,14";"120.359,35";"56.915,43";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170192 - DELEGACIA DA RFB EM CUIABA";"78.132,23";"45.722,39";"44.353,93";"13.783,07";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"306.967,20";"42.135,05";"37.080,38";"112.718,15";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170860 - COORD. ANALISE E INF TRANS FIN INTERGOV/STN";"7.796.071.354,00";"42.053.815.454,29";"37.802.890.070,23";"0,00";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170178 - DELEGACIA DA RFB EM CAXIAS DO SUL";"- 10.293,92";"595.153,22";"585.274,11";"40.616,91";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170192 - DELEGACIA DA RFB EM CUIABA";"9.719,61";"19.869,59";"21.204,94";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170262 - DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"1.766,16";"1.106,16";"700,47";"588.885,87";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170183 - DELEGACIA DA RFB EM SANTA MARIA";"80.690,39";"13.267,12";"12.637,59";"1.626.807,39";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170116 - SUPERINTENDENCIA REGIONAL DA RFB NA 7A RF";"8.731.168,44";"1.490.202,62";"639.075,90";"1.438.376,26";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170533 - ALFANDEGA DA RFB EM SAO PAULO";"60.452,89";"57.005,23";"57.137,16";"1.297.391,31";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170147 - DELEGACIA DA RFB EM SANTO ANDRE";"330.065,78";"758.613,14";"754.736,88";"15.886,12";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170078 - SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"7.712,95";"697.922,49";"732.273,53";"848.723,51";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170078 - SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"3.381.632,91";"374.652,04";"134.716,98";"375.101,48";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170094 - DELEGACIA DA RFB EM VARGINHA";"5.147,11";"391.962,22";"407.536,14";"65.305,14";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170058 - SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"1.835.950,70";"1.867.031,30";"1.978.185,36";"596.133,75";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"1.568.424.353,60";"1.184.014.966,50";"1.184.014.966,50";"80.766.240,87";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"1.936.158,34";"3.333.559,31";"3.344.165,51";"295.362,23";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170136 - DELEGACIA DA RFB EM CAMPINAS";"24.423,92";"24.423,92";"24.423,92";"0,00";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170162 - ALFANDEGA DA RFB EM FOZ DO IGUACU";"68.426,84";"839,80";"894,38";"3.418,40";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170192 - DELEGACIA DA RFB EM CUIABA";"- 1.661,52";"14.889,51";"19.074,37";"490,91";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170626 - SUBSECRETARIA DE GESTAO,TEC.DA INF. ORCAMENTO";"845.635,28";"58.095,00";"58.095,00";"2.764,13";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170860 - COORD. ANALISE E INF TRANS FIN INTERGOV/STN";"0,00";"45.398.956.137,50";"45.398.956.137,50";"0,00";
